23;23;44;50;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;78;79;80;23;23;23;23;23;23;23;23
23;23;45;60;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;78;79;80;23;23;23;23;23;23;23;23
23;23;46;61;43;43;43;43;43;43;43;43;43;43;43;43;43;37;23;78;79;80;12;12;12;12;12;12;11;23
23;23;47;28;2'111;2;2;2'105'BOMB_UP;2'105'KICK;2;2;3;2'105;3;2'105;3;2'105;35;12;81;82;83;2'104'0,0,5,8;2;2'105;2'105;2;2'103;5;25
25;23;48;28;1;3;1;10;12;11;1;2;1'106;2'105;1'106;2'105;1;8;2'103;84;90;96;1;4;17;17;17;17;19;26
26;23;23;28;1;2;1;8;2'103;5;1'105;3;1'105;3;1'105;3;1'105;8;1;87;2'EXIT;99;1;5;18;18;18;18;20;23
23;23;23;34;33;32;31;9;1'105'BOMB_UP;6;12;12;12;33;32;31;12;9;1'105;3;2;3;1;6;12;12;12;12;11;23
23;25;23;8;2'105;2;2;2;1'106;2'105'SPEED_UP;2;2'105;2;2;2'116;2;2;2'105;1;2'105;1;2;1'104'18,4,5,4;2;2'105;2'105;2;2'103;5;23
23;26;23;8;1;62;64;65;1'105'FLAME_UP;4;17;15;17;15;17;7;1;3;1;3;1'105;3;1;4;17;15;17;15;19;23
23;23;25;8;1'117;67;70;73;1;5;18;16;18;16;18;8;1;2;1'106;2'105;1'104'4,4,1,2;2'109;1;5;18;18;18;16;20;23
23;23;26;8;1;76;12;77;1'105;5;21;21;21;21;21;8;1'105;3;1'105;3;1'105;3;1;5;21;21;21;21;21;23
25;23;44;59;1'103'115;2;2;2'116;1'103;56;50;23;23;25;44;59;2'108;2'105;1;2'105;1'104'4,6,1,0;2'107;1'104'1,8,0,0;56;50;23;23;23;23;25
26;23;45;60;17;15;17;15;17;57;51;23;25;26;45;60;17;15;17;15;17;15;17;57;51;23;25;23;23;26
23;23;46;52;18;16;18;16;18;46;52;23;26;23;46;52;18;16;18;16;18;16;18;46;52;23;26;23;23;23
23;23;47;53;21;21;21;21;21;47;53;23;23;23;47;53;21;21;21;21;21;21;21;47;53;23;23;23;23;23
23;23;48;54;23;23;23;23;23;48;54;23;23;23;48;54;23;23;23;23;23;23;23;48;54;23;23;23;23;23
